id_venta;id_sucursal;id_producto;fecha_venta;cantidad_vendida;total_venta
10001;3;2;10-06-2029;1;800.0
10002;2;4;28-03-2027;10;250.0
10003;5;11;05-11-2030;2;240.0
10004;5;12;01-12-2026;6;180.0
10005;1;8;28-05-2030;3;210.0
10006;6;6;25-09-2027;3;900.0
10007;2;9;11-03-2028;5;1250.0
10008;1;11;16-04-2026;3;360.0
10009;1;4;28-04-2028;1;25.0
10010;4;12;16-03-2027;7;210.0
10011;2;8;24-10-2026;4;280.0
10012;3;3;07-11-2028;8;4000.0
10013;3;11;13-02-2030;3;360.0
10014;2;9;18-04-2026;9;2250.0
10015;5;10;08-04-2030;2;160.0
10016;4;5;25-09-2026;1;50.0
10017;3;11;25-03-2030;5;600.0
10018;2;11;15-06-2030;6;720.0
10019;6;11;11-11-2026;8;960.0
10020;4;4;27-11-2026;9;225.0
10021;5;11;08-02-2028;7;840.0
10022;6;9;11-04-2029;2;500.0
10023;2;6;24-07-2029;1;300.0
10024;4;7;28-02-2029;3;450.0
10025;2;6;17-05-2030;10;3000.0
10026;2;12;02-12-2028;4;120.0
10027;4;10;14-09-2028;7;560.0
10028;1;7;07-10-2026;4;600.0
10029;5;2;22-02-2029;7;5600.0
10030;2;6;14-12-2027;6;1800.0
10031;3;9;07-04-2028;2;500.0
10032;3;7;06-05-2029;1;150.0
10033;3;8;16-02-2030;10;700.0
10034;2;10;18-05-2026;8;640.0
10035;6;4;16-02-2027;9;225.0
10036;3;12;21-05-2028;5;150.0
10037;5;10;01-08-2027;1;80.0
10038;2;5;18-12-2026;5;250.0
10039;6;11;10-08-2026;7;840.0
10040;3;7;19-12-2030;5;750.0
10041;6;12;13-09-2030;10;300.0
10042;1;5;25-03-2027;6;300.0
10043;1;12;25-07-2030;10;300.0
10044;5;4;11-11-2030;10;250.0
10045;3;6;20-02-2027;2;600.0
10046;3;11;27-12-2029;2;240.0
10047;3;8;27-05-2026;8;560.0
10048;1;8;25-03-2030;8;560.0
10049;3;8;22-05-2027;9;630.0
10050;3;3;17-02-2028;7;3500.0
10051;1;9;12-04-2027;7;1750.0
10052;2;12;02-03-2026;8;240.0
10053;2;1;13-08-2027;7;8400.0
10054;5;10;01-10-2028;8;640.0
10055;2;5;08-05-2026;9;450.0
10056;4;4;07-06-2029;4;100.0
10057;5;5;04-04-2027;10;500.0
10058;6;1;24-02-2026;4;4800.0
10059;1;11;05-11-2029;1;120.0
10060;2;5;21-05-2029;2;100.0
10061;3;5;05-05-2027;6;300.0
10062;1;10;02-05-2029;4;320.0
10063;4;11;10-10-2027;9;1080.0
10064;1;9;23-05-2027;8;2000.0
10065;3;7;03-07-2028;5;750.0
10066;5;2;25-01-2027;10;8000.0
10067;4;2;14-12-2030;5;4000.0
10068;4;7;06-06-2028;4;600.0
10069;4;11;23-11-2027;5;600.0
10070;4;6;24-07-2028;10;3000.0
10071;4;4;27-02-2029;6;150.0
10072;5;2;08-04-2027;5;4000.0
