id_costo;id_sucursal;id_producto;fecha_costo;cantidad_comprada;total_costo
5001;4;8;22-02-2028;8;320.0
5002;5;10;12-06-2029;9;405.0
5003;4;6;25-12-2028;10;1800.0
5004;2;1;03-03-2028;10;8000.0
5005;2;7;07-04-2026;10;900.0
5006;1;12;04-12-2029;10;100.0
5007;3;12;30-12-2029;6;60.0
5008;6;6;12-02-2030;10;1800.0
5009;4;10;08-12-2028;13;585.0
5010;4;4;20-03-2027;9;90.0
5011;1;8;27-02-2028;12;480.0
5012;5;7;02-12-2029;12;1080.0
5013;1;8;10-07-2027;15;600.0
5014;6;1;11-04-2026;14;11200.0
5015;6;3;05-10-2027;11;3300.0
5016;1;1;05-09-2027;13;10400.0
5017;4;8;26-10-2026;14;560.0
5018;5;2;22-11-2028;7;3500.0
5019;1;5;19-08-2026;13;260.0
5020;5;6;27-10-2029;8;1440.0
5021;5;8;16-11-2029;15;600.0
5022;4;9;10-12-2029;11;1650.0
5023;6;3;19-06-2030;13;3900.0
5024;1;9;20-09-2027;14;2100.0
5025;5;1;17-11-2030;8;6400.0
5026;6;9;12-07-2029;7;1050.0
5027;6;5;29-07-2027;7;140.0
5028;4;6;30-08-2029;14;2520.0
5029;3;3;23-09-2029;13;3900.0
5030;3;10;16-07-2026;11;495.0
5031;2;3;12-04-2027;11;3300.0
5032;4;1;21-02-2030;13;10400.0
5033;5;7;05-07-2030;13;1170.0
5034;6;1;03-02-2030;13;10400.0
5035;1;3;12-05-2030;14;4200.0
5036;1;9;26-08-2028;12;1800.0
5037;4;7;05-09-2028;12;1080.0
5038;4;4;30-10-2026;9;90.0
5039;1;10;31-05-2029;13;585.0
5040;4;2;03-11-2028;11;5500.0
5041;1;7;02-04-2028;15;1350.0
5042;2;6;21-03-2029;14;2520.0
5043;1;1;05-09-2029;13;10400.0
5044;4;2;15-04-2027;15;7500.0
5045;1;1;03-06-2030;14;11200.0
5046;6;4;28-07-2028;11;110.0
5047;1;1;09-06-2029;10;8000.0
5048;2;3;07-06-2028;8;2400.0
5049;4;2;11-05-2030;6;3000.0
5050;2;6;20-10-2027;14;2520.0
5051;2;11;02-04-2026;14;980.0
5052;4;12;17-11-2026;15;150.0
5053;4;5;26-04-2029;15;300.0
5054;1;10;02-10-2028;7;315.0
5055;5;6;03-08-2029;15;2700.0
5056;4;3;05-08-2028;5;1500.0
5057;5;12;27-03-2030;14;140.0
5058;1;9;28-08-2026;15;2250.0
5059;3;7;10-06-2030;11;990.0
5060;3;9;04-11-2029;9;1350.0
5061;6;5;03-04-2029;12;240.0
5062;5;8;20-02-2026;7;280.0
5063;2;1;16-12-2028;15;12000.0
5064;3;1;20-07-2029;9;7200.0
5065;5;5;16-05-2030;6;120.0
5066;4;11;12-12-2026;15;1050.0
5067;5;12;13-05-2026;15;150.0
5068;4;9;12-12-2026;13;1950.0
5069;3;3;04-02-2027;12;3600.0
5070;1;3;18-04-2030;12;3600.0
5071;1;11;16-06-2030;13;910.0
5072;4;7;12-06-2026;14;1260.0
5073;6;1;23-08-2027;13;10400.0
5074;1;11;30-11-2028;13;910.0
5075;6;2;06-08-2027;15;7500.0
5076;2;8;20-11-2030;9;360.0
5077;5;12;22-07-2028;11;110.0
5078;3;4;02-03-2029;8;80.0
5079;4;3;04-10-2027;5;1500.0
5080;2;8;09-02-2028;7;280.0
5081;4;1;18-10-2026;5;4000.0
5082;3;5;19-06-2029;13;260.0
5083;4;4;21-01-2028;14;140.0
5084;5;6;24-06-2030;10;1800.0
5085;6;1;25-07-2027;15;12000.0
5086;3;1;22-02-2026;11;8800.0
5087;6;3;24-11-2026;11;3300.0
5088;6;9;01-01-2030;11;1650.0
5089;2;10;06-05-2030;15;675.0
5090;3;1;23-12-2027;14;11200.0
5091;2;5;12-10-2030;14;280.0
5092;4;4;27-03-2029;8;80.0
5093;5;9;12-01-2030;5;750.0
5094;3;2;22-08-2028;10;5000.0
5095;5;6;25-12-2028;8;1440.0
5096;5;5;03-04-2026;14;280.0
5097;2;1;21-02-2026;5;4000.0
5098;2;12;28-06-2027;5;50.0
5099;6;4;13-04-2028;14;140.0
5100;2;7;10-03-2026;13;1170.0
5101;2;3;30-12-2029;13;3900.0
5102;4;12;17-08-2030;8;80.0
5103;6;3;11-01-2030;15;4500.0
5104;1;5;04-06-2029;5;100.0
5105;2;4;24-08-2030;14;140.0
5106;5;12;16-05-2028;6;60.0
5107;5;3;01-06-2027;6;1800.0
5108;4;10;30-03-2028;10;450.0
5109;5;8;12-04-2030;13;520.0
5110;2;4;02-11-2030;11;110.0
5111;2;9;09-03-2029;8;1200.0
5112;6;1;14-06-2029;6;4800.0
5113;3;9;04-05-2029;9;1350.0
5114;6;6;28-06-2028;5;900.0
5115;6;6;28-05-2026;7;1260.0
5116;1;4;10-05-2027;10;100.0
5117;1;6;23-07-2028;15;2700.0
5118;3;6;17-07-2026;6;1080.0
5119;1;2;08-11-2030;9;4500.0
5120;4;10;20-08-2029;14;630.0
5121;3;4;01-10-2027;9;90.0
5122;6;9;25-07-2030;9;1350.0
5123;1;11;17-06-2026;11;770.0
5124;2;10;08-01-2029;13;585.0
5125;6;3;01-02-2029;15;4500.0
5126;6;4;08-06-2029;13;130.0
5127;6;2;20-07-2026;9;4500.0
5128;1;4;02-10-2030;13;130.0
5129;3;10;02-12-2027;5;225.0
5130;5;7;25-07-2027;7;630.0
5131;5;5;03-12-2029;13;260.0
5132;4;3;17-10-2030;9;2700.0
5133;6;12;30-10-2029;6;60.0
5134;6;1;03-08-2027;9;7200.0
5135;6;11;08-10-2026;11;770.0
5136;5;1;06-05-2026;5;4000.0
5137;6;5;09-02-2029;9;180.0
5138;5;3;10-11-2027;14;4200.0
5139;3;2;23-10-2026;10;5000.0
5140;4;11;28-10-2027;5;350.0
5141;3;4;11-04-2028;9;90.0
5142;3;12;26-03-2027;10;100.0
5143;5;8;19-09-2030;8;320.0
5144;6;8;05-10-2029;6;240.0
5145;2;8;09-10-2030;10;400.0
5146;6;5;26-07-2030;12;240.0
5147;6;1;01-08-2026;12;9600.0
5148;6;12;27-06-2028;15;150.0
5149;2;4;26-06-2030;7;70.0
5150;6;12;24-12-2030;13;130.0
5151;6;1;05-05-2026;15;12000.0
5152;1;12;22-03-2027;9;90.0
5153;2;3;22-06-2026;10;3000.0
5154;6;5;14-11-2030;9;180.0
5155;3;4;08-02-2027;13;130.0
5156;3;6;22-12-2030;11;1980.0
5157;3;5;03-04-2030;6;120.0
5158;3;1;28-11-2029;9;7200.0
5159;5;12;15-05-2030;14;140.0
5160;4;1;14-10-2026;11;8800.0
5161;3;12;27-12-2030;10;100.0
5162;2;10;30-03-2028;10;450.0
5163;6;3;12-03-2030;12;3600.0
5164;2;10;23-09-2029;6;270.0
5165;1;6;06-03-2028;12;2160.0
5166;1;11;20-07-2028;9;630.0
5167;3;9;02-06-2027;9;1350.0
5168;4;6;02-10-2030;15;2700.0
5169;5;6;31-08-2027;13;2340.0
5170;6;4;01-07-2029;10;100.0
5171;1;7;16-10-2028;8;720.0
5172;2;8;08-01-2029;8;320.0
5173;2;9;03-06-2030;7;1050.0
5174;5;4;12-05-2028;10;100.0
5175;6;5;07-04-2028;15;300.0
5176;4;1;12-12-2030;12;9600.0
5177;3;6;14-01-2030;5;900.0
5178;3;9;09-04-2028;10;1500.0
5179;3;5;29-10-2026;5;100.0
5180;6;2;31-12-2028;12;6000.0
5181;5;4;28-01-2027;6;60.0
5182;2;9;31-10-2026;11;1650.0
5183;6;9;22-03-2026;6;900.0
5184;4;6;01-08-2027;11;1980.0
5185;4;2;04-08-2026;5;2500.0
5186;1;9;24-09-2027;15;2250.0
5187;3;10;31-12-2028;11;495.0
5188;5;12;16-03-2027;12;120.0
5189;5;5;19-10-2027;12;240.0
5190;2;4;14-06-2028;15;150.0
5191;1;12;22-12-2030;15;150.0
5192;2;1;04-11-2027;11;8800.0
5193;4;5;04-03-2030;9;180.0
5194;4;3;02-01-2027;14;4200.0
5195;3;2;18-09-2028;14;7000.0
5196;2;6;21-10-2027;6;1080.0
5197;1;7;06-02-2027;8;720.0
5198;3;9;08-06-2028;8;1200.0
5199;3;4;13-09-2029;9;90.0
5200;4;10;24-07-2030;12;540.0
5201;3;12;16-03-2027;5;50.0
5202;6;6;09-08-2030;5;900.0
5203;5;11;05-11-2030;15;1050.0
5204;2;6;22-06-2029;12;2160.0
5205;1;7;10-03-2026;14;1260.0
5206;6;9;30-07-2030;11;1650.0
5207;5;3;25-08-2028;12;3600.0
5208;5;1;26-01-2029;13;10400.0
5209;1;2;21-06-2029;6;3000.0
5210;1;7;19-10-2030;13;1170.0
5211;4;8;20-08-2029;13;520.0
5212;1;10;23-07-2030;5;225.0
5213;1;11;30-12-2029;8;560.0
5214;2;5;02-08-2029;15;300.0
5215;6;6;26-12-2028;8;1440.0
5216;6;2;12-12-2026;12;6000.0
5217;6;7;30-06-2030;11;990.0
5218;6;7;18-05-2026;12;1080.0
5219;3;8;23-01-2029;10;400.0
5220;6;12;02-02-2028;5;50.0
5221;1;1;09-10-2028;6;4800.0
5222;3;10;28-05-2028;7;315.0
5223;2;8;19-07-2027;6;240.0
5224;2;4;05-11-2028;13;130.0
5225;1;4;05-09-2026;9;90.0
5226;5;5;24-03-2027;6;120.0
5227;5;3;21-10-2029;13;3900.0
5228;3;4;18-03-2030;12;120.0
5229;5;12;22-01-2027;13;130.0
5230;2;9;05-08-2026;6;900.0
5231;5;2;03-11-2026;7;3500.0
5232;3;8;13-06-2026;15;600.0
5233;6;3;07-05-2028;12;3600.0
5234;2;6;30-03-2028;14;2520.0
5235;2;3;26-06-2028;8;2400.0
5236;3;6;19-03-2030;9;1620.0
5237;5;8;05-08-2030;8;320.0
5238;3;4;28-05-2030;14;140.0
5239;2;5;29-05-2026;6;120.0
5240;2;5;26-09-2027;9;180.0
5241;3;5;22-11-2028;13;260.0
5242;4;7;05-09-2029;5;450.0
5243;5;4;14-02-2029;12;120.0
5244;4;5;17-07-2027;11;220.0
5245;1;12;18-03-2026;6;60.0
5246;1;2;23-10-2026;7;3500.0
5247;3;6;07-11-2028;5;900.0
5248;2;8;26-11-2027;13;520.0
5249;5;4;04-02-2027;14;140.0
5250;4;9;30-09-2027;11;1650.0
5251;6;11;04-05-2028;13;910.0
5252;5;10;24-04-2028;12;540.0
5253;5;2;15-03-2028;11;5500.0
5254;3;8;23-09-2028;15;600.0
5255;5;6;01-02-2030;9;1620.0
5256;6;7;06-04-2029;12;1080.0
5257;4;4;04-10-2026;7;70.0
5258;4;10;03-10-2028;15;675.0
5259;1;10;11-05-2030;5;225.0
5260;1;2;03-03-2030;10;5000.0
5261;4;3;23-05-2028;6;1800.0
5262;1;7;12-05-2027;15;1350.0
5263;6;11;24-04-2027;14;980.0
5264;4;5;29-08-2029;9;180.0
5265;5;4;05-07-2029;15;150.0
5266;3;10;14-03-2029;12;540.0
5267;1;11;22-05-2026;11;770.0
5268;6;2;14-01-2029;13;6500.0
5269;6;1;08-12-2028;14;11200.0
5270;3;9;21-05-2026;12;1800.0
5271;5;1;22-04-2028;6;4800.0
5272;1;7;27-08-2030;5;450.0
5273;4;1;06-02-2030;11;8800.0
5274;1;1;04-03-2028;5;4000.0
5275;5;4;06-09-2027;6;60.0
5276;3;10;02-09-2028;15;675.0
5277;4;2;19-07-2029;12;6000.0
5278;5;9;15-09-2026;10;1500.0
5279;5;5;30-08-2030;12;240.0
5280;5;9;05-06-2028;7;1050.0
5281;1;5;30-09-2027;15;300.0
5282;6;9;01-12-2026;11;1650.0
5283;5;11;08-09-2030;5;350.0
5284;6;7;09-11-2029;9;810.0
5285;1;12;12-10-2027;14;140.0
5286;6;12;23-03-2028;12;120.0
5287;1;1;04-06-2029;13;10400.0
5288;6;5;07-12-2030;5;100.0
5289;6;9;04-10-2027;8;1200.0
5290;3;5;10-06-2028;12;240.0
5291;3;1;25-05-2027;15;12000.0
5292;4;3;01-04-2027;13;3900.0
5293;1;12;24-09-2029;15;150.0
5294;5;9;04-04-2027;11;1650.0
5295;2;1;25-01-2028;7;5600.0
5296;4;7;14-01-2028;8;720.0
5297;1;3;18-11-2030;12;3600.0
5298;1;6;11-04-2029;11;1980.0
5299;4;10;24-10-2028;7;315.0
5300;1;1;01-08-2029;6;4800.0
5301;1;11;19-04-2028;5;350.0
5302;3;3;26-09-2029;7;2100.0
5303;2;6;08-06-2028;10;1800.0
5304;4;2;20-07-2026;11;5500.0
5305;6;3;30-10-2028;9;2700.0
5306;1;5;24-03-2029;5;100.0
